"ID: 1371818
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Primaria
				Colonia: DOCTORES
				Delegaci󮺠CUAUHTEMOC", "-99.1542792018505,19.4160101663978,0"
"ID: 1373639
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Primaria
				Colonia: CONDESA
				Delegaci󮺠CUAUHTEMOC", "-99.1737378998805,19.4143868813908,0"
"ID: 1320408
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Primaria
				Colonia: CLAVERIA
				Delegaci󮺠AZCAPOTZALCO", "-99.1818250221169,19.4687930705323,0"
"ID: 1128202
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: ZONA RUSTICA
				Delegaci󮺠TLALPAN", "-99.2374821507184,19.2703472032318,0"
"ID: 1128203
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BOSQUES DEL PEDREGAL
				Delegaci󮺠TLALPAN", "-99.2384585342509,19.2705205184149,0"
"ID: 1128204
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BOSQUES DEL PEDREGAL
				Delegaci󮺠TLALPAN", "-99.2386149998558,19.2705149019047,0"
"ID: 1128200
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: VILLAS DEL PEDREGAL
				Delegaci󮺠TLALPAN", "-99.2345949287868,19.2696472396613,0"
"ID: 1128201
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: ZONA RUSTICA
				Delegaci󮺠TLALPAN", "-99.2373495948901,19.2703441726082,0"
"ID: 1128215
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: CHIMILI
				Delegaci󮺠TLALPAN", "-99.2222939245389,19.2681107395133,0"
"ID: 1128216
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: MIRADOR 1
				Delegaci󮺠TLALPAN", "-99.2223957705231,19.2712101749026,0"
"ID: 1128217
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: MIRADOR 1
				Delegaci󮺠TLALPAN", "-99.2223134667216,19.2712538161257,0"
"ID: 1128218
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BELVEDERE
				Delegaci󮺠TLALPAN", "-99.2226743168869,19.2708656590911,0"
"ID: 1128219
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BELVEDERE
				Delegaci󮺠TLALPAN", "-99.2238194088228,19.2696716063878,0"
"ID: 1128220
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BELVEDERE
				Delegaci󮺠TLALPAN", "-99.2237541734032,19.2696118945215,0"
"ID: 1128221
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BELVEDERE
				Delegaci󮺠TLALPAN", "-99.2241896989154,19.26871620802,0"
"ID: 1128222
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: BELVEDERE
				Delegaci󮺠TLALPAN", "-99.2242918891439,19.268757290411,0"
"ID: 1128223
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LOMAS DE PADIERNA
				Delegaci󮺠TLALPAN", "-99.2224130404065,19.2975477223712,0"
"ID: 1128224
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LOMAS DE PADIERNA
				Delegaci󮺠TLALPAN", "-99.2230495712691,19.2974969831101,0"
"ID: 1128225
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LOMAS DE PADIERNA
				Delegaci󮺠TLALPAN", "-99.2278408413525,19.2958394642236,0"
"ID: 1128226
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: U H PEMEX PICACHO
				Delegaci󮺠TLALPAN", "-99.2200422873701,19.3061361003296,0"
"ID: 1128227
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LOS FRAMBOYANOS
				Delegaci󮺠TLALPAN", "-99.2203189251271,19.3065327297608,0"
"ID: 1128228
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: FUENTES DEL PEDREGAL
				Delegaci󮺠TLALPAN", "-99.2225920384149,19.3091359347558,0"
"ID: 1128229
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: ZONA RUSTICA
				Delegaci󮺠TLALPAN", "-99.2072366099044,19.2663240208634,0"
"ID: 1128230
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: ZONA RUSTICA
				Delegaci󮺠TLALPAN", "-99.2073729342577,19.2664883257377,0"
"ID: 1128231
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LUCES DE FAROL
				Delegaci󮺠TLALPAN", "-99.2119360964182,19.2699402616331,0"
"ID: 1128232
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: PARAJE 38
				Delegaci󮺠TLALPAN", "-99.2111658772051,19.2675748218636,0"
"ID: 1128233
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LOMAS DE BELVEDER
				Delegaci󮺠TLALPAN", "-99.2066864370868,19.2720702333429,0"
"ID: 1128234
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: LOMAS DE BELVEDER
				Delegaci󮺠TLALPAN", "-99.2068081402223,19.2720243366429,0"
"ID: 1128235
				Tipo: Sem⧯ros
				Categor Semex
				Caractericas: 
				Empresa: 
				V Secundaria
				Colonia: MIGUEL HIDALGO 2A SECC
				Delegaci󮺠TLALPAN", "-99.2007633911873,19.2811147324027,0"
